user;month;type;class;category
dom4_9;5;dom;dom4;household
dom4_9;6;dom;dom4;household
dom4_9;7;dom;dom4;household
dom4_9;8;dom;dom4;household
dom4_9;9;dom;dom4;household
dom4_9;10;dom;dom4;household
dom4_9;11;dom;dom4;household
dom4_9;12;dom;dom4;household
bta1_3;1;bta;bta1;office
bta1_3;2;bta;bta1;office
bta1_3;3;bta;bta1;office
bta1_3;4;bta;bta1;office
bta1_3;5;bta;bta1;office
bta1_3;6;bta;bta1;office
bta1_3;7;bta;bta1;office
bta1_3;8;bta;bta1;office
bta1_3;9;bta;bta1;office
bta1_3;10;bta;bta1;office
bta1_3;11;bta;bta1;office
bta1_3;12;bta;bta1;office
bta6l_2;1;bta;bta6;office
bta6l_2;2;bta;bta6;office
bta6l_2;3;bta;bta6;office
bta6l_2;4;bta;bta6;office
bta6l_2;5;bta;bta6;office
bta6l_2;6;bta;bta6;office
bta6l_2;7;bta;bta6;office
bta6l_2;8;bta;bta6;office
bta6l_2;9;bta;bta6;office
bta6l_2;10;bta;bta6;office
bta6l_2;11;bta;bta6;office
bta6l_2;12;bta;bta6;office
bta6_c1;1;bta;bta6;municipal
bta6_c1;2;bta;bta6;municipal
bta6_c1;3;bta;bta6;municipal
bta6_c1;4;bta;bta6;municipal
bta6_c1;5;bta;bta6;municipal
bta6_c1;6;bta;bta6;municipal
bta6_c1;7;bta;bta6;municipal
bta6_c1;8;bta;bta6;municipal
bta6_c1;9;bta;bta6;municipal
bta6_c1;10;bta;bta6;municipal
bta6_c1;11;bta;bta6;municipal
bta6_c1;12;bta;bta6;municipal
dom4_5;1;dom;dom4;household
dom4_5;2;dom;dom4;household
dom4_5;3;dom;dom4;household
dom4_5;4;dom;dom4;household
dom4_5;5;dom;dom4;household
dom4_5;6;dom;dom4;household
dom4_5;7;dom;dom4;household
dom4_5;8;dom;dom4;household
dom4_5;9;dom;dom4;household
dom4_5;10;dom;dom4;household
dom4_5;11;dom;dom4;household
dom4_5;12;dom;dom4;household
dom4_6;1;dom;dom4;household
dom4_6;2;dom;dom4;household
dom4_6;3;dom;dom4;household
dom4_6;4;dom;dom4;household
dom4_6;5;dom;dom4;household
dom4_6;6;dom;dom4;household
dom4_6;7;dom;dom4;household
dom4_6;8;dom;dom4;household
dom4_6;9;dom;dom4;household
dom4_6;10;dom;dom4;household
dom4_6;11;dom;dom4;household
dom4_6;12;dom;dom4;household
dom2_6;1;dom;dom1_2;household
dom2_6;2;dom;dom1_2;household
dom2_6;3;dom;dom1_2;household
dom2_6;4;dom;dom1_2;household
dom2_6;5;dom;dom1_2;household
dom2_6;6;dom;dom1_2;household
dom2_6;7;dom;dom1_2;household
dom2_6;8;dom;dom1_2;household
dom2_6;9;dom;dom1_2;household
dom2_6;10;dom;dom1_2;household
dom2_6;11;dom;dom1_2;household
dom2_6;12;dom;dom1_2;household
dom2_1;1;dom;dom1_2;household
dom2_1;2;dom;dom1_2;household
dom2_1;3;dom;dom1_2;household
dom2_1;4;dom;dom1_2;household
dom2_1;5;dom;dom1_2;household
dom2_1;6;dom;dom1_2;household
dom2_1;7;dom;dom1_2;household
dom2_1;8;dom;dom1_2;household
dom2_1;9;dom;dom1_2;household
dom2_1;10;dom;dom1_2;household
dom2_1;11;dom;dom1_2;household
dom2_1;12;dom;dom1_2;household
bta5_10;1;bta;bta5;commercial
bta5_10;2;bta;bta5;commercial
bta5_10;3;bta;bta5;commercial
bta5_10;4;bta;bta5;commercial
bta5_10;5;bta;bta5;commercial
bta5_10;6;bta;bta5;commercial
bta5_10;7;bta;bta5;commercial
bta5_10;9;bta;bta5;commercial
bta5_10;10;bta;bta5;commercial
bta5_10;11;bta;bta5;commercial
bta5_3;1;bta;bta5;commercial
bta5_3;2;bta;bta5;commercial
bta5_3;3;bta;bta5;commercial
bta5_3;4;bta;bta5;commercial
bta5_3;5;bta;bta5;commercial
bta5_3;6;bta;bta5;commercial
bta5_3;7;bta;bta5;commercial
bta5_3;8;bta;bta5;commercial
bta5_3;9;bta;bta5;commercial
bta5_3;10;bta;bta5;commercial
bta5_3;11;bta;bta5;commercial
bta5_3;12;bta;bta5;commercial
bta3_2;1;bta;bta3;commercial
bta3_2;2;bta;bta3;commercial
bta3_2;3;bta;bta3;commercial
bta3_2;4;bta;bta3;commercial
bta3_2;5;bta;bta3;commercial
bta3_2;6;bta;bta3;commercial
bta3_2;7;bta;bta3;commercial
bta3_2;8;bta;bta3;commercial
bta3_2;9;bta;bta3;commercial
bta3_2;10;bta;bta3;commercial
bta3_2;11;bta;bta3;commercial
bta3_2;12;bta;bta3;commercial
bta6_1;1;bta;bta6;office
bta6_1;2;bta;bta6;office
bta6_1;3;bta;bta6;office
bta6_1;4;bta;bta6;office
bta6_1;5;bta;bta6;office
bta6_1;6;bta;bta6;office
bta6_1;7;bta;bta6;office
bta6_1;8;bta;bta6;office
bta6_1;9;bta;bta6;office
bta6_1;10;bta;bta6;office
bta6_1;11;bta;bta6;office
bta6_1;12;bta;bta6;office
bta6_5;1;bta;bta6;commercial
bta6_5;2;bta;bta6;commercial
bta6_5;3;bta;bta6;commercial
bta6_5;4;bta;bta6;commercial
bta6_5;5;bta;bta6;commercial
bta6_5;6;bta;bta6;commercial
bta6_5;7;bta;bta6;commercial
bta6_5;8;bta;bta6;commercial
bta6_5;9;bta;bta6;commercial
bta6_5;10;bta;bta6;commercial
bta6_5;11;bta;bta6;commercial
bta6_5;12;bta;bta6;commercial
dom3_3;1;dom;dom3;household
dom3_3;2;dom;dom3;household
dom3_3;3;dom;dom3;household
dom3_3;4;dom;dom3;household
dom3_3;5;dom;dom3;household
dom3_3;6;dom;dom3;household
dom3_3;7;dom;dom3;household
dom3_3;8;dom;dom3;household
dom3_3;9;dom;dom3;household
dom3_3;10;dom;dom3;household
dom3_3;11;dom;dom3;household
dom3_3;12;dom;dom3;household
bta3_c3;1;bta;bta3;municipal
bta3_c3;2;bta;bta3;municipal
bta3_c3;3;bta;bta3;municipal
bta3_c3;4;bta;bta3;municipal
bta3_c3;5;bta;bta3;municipal
bta3_c3;6;bta;bta3;municipal
bta3_c3;7;bta;bta3;municipal
bta3_c3;8;bta;bta3;municipal
bta3_c3;10;bta;bta3;municipal
bta3_c3;11;bta;bta3;municipal
bta3_c3;12;bta;bta3;municipal
bta2_8;3;bta;bta2;office
bta2_8;7;bta;bta2;office
bta2_8;8;bta;bta2;office
bta2_8;12;bta;bta2;office
bta1_6;1;bta;bta1;residential
bta1_6;2;bta;bta1;residential
bta1_6;3;bta;bta1;residential
bta1_6;4;bta;bta1;residential
bta1_6;5;bta;bta1;residential
