user;month;x_f1;x_f2;x_f3
bta1_6;8;0.365973619;0.235971384;0.398054997
bta1_6;9;0.374500736;0.257620349;0.367878915
bta1_6;10;0.366013727;0.25900506;0.374981213
bta1_6;11;0.400296296;0.241580247;0.358123457
bta1_6;12;0.399354144;0.208728838;0.391917017
bta4_c1;1;0.280933545;0.214130046;0.504936409
bta4_c1;2;0.331563533;0.241419974;0.427016493
bta4_c1;3;0.340251848;0.242964149;0.416784004
bta4_c1;4;0.300887407;0.301250956;0.397861637
bta4_c1;5;0.283721429;0.32391992;0.392358651
bta4_c1;6;0.251977728;0.327652354;0.420369919
bta4_c1;7;0.260869647;0.312452044;0.426678308
bta4_c1;8;0.296503697;0.272207069;0.431289235
bta4_c1;9;0.273662322;0.381077028;0.34526065
bta4_c1;10;0.290796621;0.288238932;0.420964448
bta4_c1;11;0.37264045;0.250200472;0.377159078
bta4_c1;12;0.275649965;0.235579726;0.488770309
bta5_4;1;0.485623771;0.186565091;0.327811138
bta5_4;5;0.336535732;0.220227348;0.443236921
bta5_4;6;0.312564806;0.27922276;0.408212434
bta5_4;7;0.283539664;0.362428245;0.354032091
bta5_4;8;0.285140497;0.338375577;0.376483926
bta5_4;9;0.372326329;0.27197957;0.355694101
bta5_4;10;0.422711364;0.281619106;0.29566953
bta5_4;11;0.640011915;0.20112107;0.158867015
bta5_4;12;0.523953246;0.18685981;0.289186944
dom2_5;1;0.301919079;0.341052295;0.357028626
dom2_5;2;0.279832542;0.366588841;0.353578617
dom2_5;3;0.355950277;0.334131227;0.309918495
dom2_5;4;0.321002118;0.235569774;0.443428108
dom2_5;5;0.311200679;0.22783199;0.460967331
dom2_5;6;0.322554181;0.233062145;0.444383674
dom2_5;7;0.325576911;0.252940798;0.421482291
dom2_5;8;0.325482762;0.23156508;0.442952158
dom2_5;9;0.338705598;0.24388393;0.417410472
dom2_5;10;0.2890442;0.270648055;0.440307745
dom2_5;11;0.425393282;0.271836021;0.302770697
dom2_5;12;0.363375218;0.2926186;0.344006182
