type;month;y_i0;y_i1;y_i2;y_i3;y_i4;y_i5;y_i6;y_i7;y_i8;y_i9;y_i10;y_i11;y_i12;y_i13;y_i14;y_i15;y_i16;y_i17;y_i18;y_i19;y_i20;y_i21;y_i22;y_i23;y_i24;y_i25;y_i26;y_i27;y_i28;y_i29;y_i30;y_i31;y_i32;y_i33;y_i34;y_i35;y_i36;y_i37;y_i38;y_i39;y_i40;y_i41;y_i42;y_i43;y_i44;y_i45;y_i46;y_i47;y_i48;y_i49;y_i50;y_i51;y_i52;y_i53;y_i54;y_i55;y_i56;y_i57;y_i58;y_i59;y_i60;y_i61;y_i62;y_i63;y_i64;y_i65;y_i66;y_i67;y_i68;y_i69;y_i70;y_i71
dom;11;0.001030839;0.000871974;0.000792916;0.000761945;0.000764529;0.000828633;0.000998514;0.001210858;0.001454175;0.001517158;0.001514588;0.001537454;0.001602428;0.001585104;0.00154508;0.001501671;0.001560227;0.001812202;0.002004369;0.002011624;0.001952914;0.001790007;0.001523514;0.001282508;0.001030839;0.000871974;0.000792916;0.000761945;0.000764529;0.000828633;0.000998514;0.001220739;0.001359311;0.001418185;0.001415784;0.001437157;0.001497892;0.001481699;0.001444286;0.001403709;0.001458445;0.001693981;0.001873612;0.00202804;0.001968851;0.001804615;0.001535947;0.001282508;0.001030839;0.000871974;0.000792916;0.000761945;0.000764529;0.000828633;0.000998514;0.00131841;0.001403008;0.001463775;0.001461296;0.001483356;0.001546044;0.001529329;0.001490715;0.001448833;0.001505329;0.001748437;0.001933842;0.002190303;0.002126378;0.001949002;0.001658837;0.001282508
dom;12;0.000946176;0.000787902;0.000707634;0.000674563;0.000673676;0.000728619;0.000873439;0.001147808;0.001392858;0.001485442;0.001506384;0.001533552;0.001594171;0.001579835;0.001559193;0.001533617;0.00159064;0.001769551;0.001901737;0.001923438;0.001891421;0.00176273;0.001536094;0.00120532;0.000946176;0.000787902;0.000707634;0.000674563;0.000673676;0.000728619;0.000873439;0.001173655;0.001339358;0.001428387;0.001448524;0.001474648;0.001532939;0.001519154;0.001499304;0.001474711;0.001529543;0.001701582;0.001828692;0.001966752;0.001934014;0.001802425;0.001570685;0.00120532;0.000946176;0.000787902;0.000707634;0.000674563;0.000673676;0.000728619;0.000873439;0.001230132;0.001345188;0.001434603;0.001454828;0.001481066;0.001539611;0.001525765;0.00150583;0.001481129;0.0015362;0.001708987;0.00183665;0.002061395;0.002027082;0.00188916;0.001646268;0.00120532
bta;1;0.000467226;0.000443805;0.000431913;0.000428047;0.000432674;0.000455864;0.000512813;0.000591942;0.002586774;0.003189697;0.003407819;0.003405832;0.003093754;0.002579881;0.00254471;0.002749085;0.003139009;0.003617525;0.00357323;0.000857063;0.000695852;0.000614672;0.000559802;0.000509404;0.000467226;0.000443805;0.000431913;0.000428047;0.000432674;0.000455864;0.000512813;0.000591942;0.000719939;0.000887741;0.000948447;0.000947895;0.000861038;0.00071802;0.000708232;0.000765112;0.000873634;0.001006812;0.000994484;0.000857063;0.000695852;0.000614672;0.000559802;0.000509404;0.000467226;0.000443805;0.000431913;0.000428047;0.000432674;0.000455864;0.000512813;0.000601727;0.000731839;0.000902415;0.000964125;0.000963564;0.000875271;0.000729889;0.000719938;0.000777759;0.000888075;0.001023455;0.001010923;0.00087123;0.000707354;0.000624832;0.000569056;0.000509404
bta;2;0.000639392;0.000606563;0.000590866;0.00058624;0.000593011;0.000625699;0.000700033;0.000740897;0.00249383;0.003039861;0.003225142;0.003223971;0.002937331;0.002465807;0.002433465;0.002608509;0.002900002;0.003232952;0.003439131;0.001109695;0.000906701;0.000800729;0.000728877;0.000699056;0.000639392;0.000606563;0.000590866;0.00058624;0.000593011;0.000625699;0.000700033;0.000740897;0.000917932;0.001118917;0.001187116;0.001186685;0.001081177;0.000907618;0.000895713;0.000960144;0.001067437;0.00118999;0.001265881;0.001109695;0.000906701;0.000800729;0.000728877;0.000699056;0.000639392;0.000606563;0.000590866;0.00058624;0.000593011;0.000625699;0.000700033;0.000793862;0.000983554;0.001198906;0.00127198;0.001271518;0.001158468;0.000972502;0.000959745;0.001028783;0.001143746;0.001275059;0.001356375;0.001189024;0.000971519;0.000857971;0.000780983;0.000699056
bta;3;0.000632573;0.000609831;0.000581593;0.000596379;0.00060089;0.000621311;0.000636255;0.000608392;0.00236486;0.002718578;0.002860099;0.002875943;0.002669589;0.002330854;0.002293323;0.002402721;0.002577091;0.00271548;0.002887115;0.00084007;0.000740355;0.000681549;0.000633673;0.000668392;0.000632573;0.000609831;0.000581593;0.000596379;0.00060089;0.000621311;0.000636255;0.000608392;0.000729157;0.00083822;0.000881855;0.00088674;0.000823115;0.000718673;0.000707101;0.000740831;0.000794595;0.000837264;0.000890184;0.00084007;0.000740355;0.000681549;0.000633673;0.000668392;0.000632573;0.000609831;0.000581593;0.000596379;0.00060089;0.000621311;0.000636255;0.000697408;0.000835842;0.000960862;0.001010881;0.001016482;0.000943548;0.000823824;0.000810559;0.000849225;0.000910854;0.000959767;0.00102043;0.000962983;0.000848678;0.000781269;0.000726388;0.000668392
bta;4;0.000588614;0.000569776;0.000560229;0.000557524;0.000559389;0.000570461;0.000563634;0.000602724;0.002802402;0.003117719;0.0032578;0.003278458;0.003090728;0.00275674;0.002693175;0.002777964;0.002905084;0.002977441;0.002956177;0.000722274;0.000745399;0.000713409;0.000670777;0.000618992;0.000588614;0.000569776;0.000560229;0.000557524;0.000559389;0.000570461;0.000563634;0.000615822;0.000716254;0.000796844;0.000832646;0.000837926;0.000789946;0.000704582;0.000688336;0.000710007;0.000742497;0.000760991;0.000755556;0.00073797;0.000761598;0.000728912;0.000685354;0.000618992;0.000588614;0.000569776;0.000560229;0.000557524;0.000559389;0.000570461;0.000563634;0.000596313;0.000693563;0.000771601;0.000806269;0.000811381;0.00076492;0.000682262;0.000666531;0.000687515;0.000718976;0.000736883;0.000731621;0.000714592;0.000737472;0.000705821;0.000663643;0.000618992
bta;5;0.00060041;0.000576748;0.000564932;0.000560629;0.000561932;0.000559982;0.000546758;0.00056865;0.002500396;0.002904187;0.003090282;0.003140085;0.00296107;0.002608092;0.002563515;0.002673513;0.002857104;0.00296204;0.002939152;0.000742366;0.000697076;0.00068117;0.000635288;0.000641089;0.00060041;0.000576748;0.000564932;0.000560629;0.000561932;0.000559982;0.000546758;0.00056865;0.000683036;0.00079334;0.000844176;0.000857781;0.000808879;0.000712456;0.000700278;0.000730327;0.000780479;0.000809144;0.000802892;0.000742366;0.000697076;0.00068117;0.000635288;0.000641089;0.00060041;0.000576748;0.000564932;0.000560629;0.000561932;0.000559982;0.000546758;0.000676933;0.000813102;0.000944411;0.001004928;0.001021123;0.000962909;0.000848124;0.000833628;0.000869398;0.0009291;0.000963225;0.000955781;0.00088373;0.000829815;0.00081088;0.000756262;0.000641089
bta;6;0.000613236;0.000579507;0.000562127;0.000555096;0.000555935;0.000542601;0.000548713;0.000593143;0.002419826;0.002894832;0.00310082;0.003150053;0.0029644;0.00257731;0.00255377;0.002713257;0.002945151;0.003073259;0.003035309;0.000839448;0.000745162;0.000728693;0.000683731;0.000673607;0.000613236;0.000579507;0.000562127;0.000555096;0.000555935;0.000542601;0.000548713;0.000602929;0.000742738;0.000888536;0.000951761;0.000966873;0.000909889;0.000791075;0.000783851;0.000832803;0.00090398;0.000943301;0.000931653;0.000853297;0.000757456;0.000740715;0.000695012;0.000673607;0.000613236;0.000579507;0.000562127;0.000555096;0.000555935;0.000542601;0.000548713;0.000708385;0.000786465;0.000940847;0.001007794;0.001023795;0.000963456;0.000837649;0.000829998;0.000881833;0.0009572;0.000998837;0.000986503;0.001002543;0.000889939;0.000870271;0.000816573;0.000673607
bta;7;0.000605837;0.000566169;0.000545388;0.000536091;0.000535508;0.000535824;0.000538439;0.000588955;0.002148547;0.002667636;0.002907362;0.002974082;0.002812137;0.002429099;0.002408547;0.002572492;0.00281072;0.0029422;0.00287263;0.000885585;0.000768931;0.000740243;0.000690681;0.000672038;0.000605837;0.000566169;0.000545388;0.000536091;0.000535508;0.000535824;0.000538439;0.000588955;0.00073871;0.000917182;0.000999604;0.001022543;0.000966864;0.000835168;0.000828103;0.00088447;0.000966376;0.001011582;0.000987662;0.000885585;0.000768931;0.000740243;0.000690681;0.000672038;0.000605837;0.000566169;0.000545388;0.000536091;0.000535508;0.000535824;0.000538439;0.000632333;0.000793118;0.000984734;0.001073228;0.001097857;0.001038076;0.000896681;0.000889095;0.000949613;0.001037553;0.001086088;0.001060406;0.000950811;0.000825565;0.000794763;0.000741551;0.000672038
bta;8;0.000537472;0.000501538;0.000480957;0.000470976;0.000469266;0.000479329;0.000477585;0.000643665;0.002250134;0.002734786;0.002977152;0.003052188;0.002917143;0.002550948;0.002497693;0.002607259;0.002804224;0.002947351;0.002934575;0.000954166;0.000889718;0.000834837;0.00077796;0.000586432;0.000537472;0.000501538;0.000480957;0.000470976;0.000469266;0.000479329;0.000477585;0.000655399;0.000795833;0.000967245;0.001052966;0.001079504;0.001031742;0.000902225;0.000883389;0.000922141;0.000991804;0.001042425;0.001037907;0.000971559;0.000905938;0.000850057;0.000792142;0.000586432;0.000537472;0.000501538;0.000480957;0.000470976;0.000469266;0.000479329;0.000477585;0.000529675;0.000643169;0.0007817;0.000850977;0.000872425;0.000833824;0.000729152;0.00071393;0.000745248;0.000801548;0.000842459;0.000838807;0.000785187;0.000732153;0.000686991;0.000640186;0.000586432
bta;9;0.000612594;0.000578005;0.000559827;0.000552347;0.000553477;0.000571716;0.000603647;0.000657645;0.002210315;0.002689603;0.002907973;0.002970595;0.002799934;0.002412794;0.002391134;0.002552202;0.002791203;0.002923931;0.002895771;0.001019984;0.000897287;0.000799713;0.00073733;0.000667521;0.000612594;0.000578005;0.000559827;0.000552347;0.000553477;0.000571716;0.000603647;0.000657645;0.00080588;0.000980628;0.001060246;0.001083077;0.001020855;0.000879703;0.000871807;0.000930532;0.001017671;0.001066063;0.001055797;0.001019984;0.000897287;0.000799713;0.00073733;0.000667521;0.000612594;0.000578005;0.000559827;0.000552347;0.000553477;0.000571716;0.000603647;0.000652003;0.000798965;0.000972214;0.001051149;0.001073785;0.001012096;0.000872155;0.000864327;0.000922548;0.00100894;0.001056917;0.001046738;0.001011233;0.000889588;0.000792852;0.000731004;0.000667521
bta;10;0.000540515;0.000514952;0.000503165;0.000499695;0.000504183;0.000526922;0.000576663;0.000662991;0.002448344;0.002909775;0.003081583;0.003108189;0.002878084;0.002472558;0.002442306;0.002588496;0.002818136;0.003034953;0.003169957;0.000973847;0.000812758;0.000722827;0.000662561;0.000603562;0.000540515;0.000514952;0.000503165;0.000499695;0.000504183;0.000526922;0.000576663;0.000662991;0.000795598;0.000945541;0.001001372;0.001010016;0.000935243;0.000803466;0.000793636;0.000841141;0.000915763;0.000986218;0.001030089;0.000973847;0.000812758;0.000722827;0.000662561;0.000603562;0.000540515;0.000514952;0.000503165;0.000499695;0.000504183;0.000526922;0.000576663;0.000645576;0.0007747;0.000920705;0.000975068;0.000983486;0.000910677;0.000782361;0.000772789;0.000819046;0.000891708;0.000960313;0.00100303;0.000948267;0.000791409;0.00070384;0.000645157;0.000603562
bta;11;0.000535965;0.000520893;0.000514743;0.000514307;0.000521153;0.00054691;0.000600721;0.00074359;0.002446533;0.002889459;0.003037933;0.003045346;0.00279661;0.002390987;0.002369415;0.002554662;0.002924048;0.003353559;0.00320171;0.001021614;0.000837925;0.000748591;0.000684818;0.000569557;0.000535965;0.000520893;0.000514743;0.000514307;0.000521153;0.00054691;0.000600721;0.000755839;0.000928348;0.001096418;0.001152757;0.001155571;0.001061186;0.000907271;0.000899085;0.000969378;0.001109544;0.001272523;0.001214904;0.00103844;0.000851726;0.000760922;0.000696098;0.000569557;0.000535965;0.000520893;0.000514743;0.000514307;0.000521153;0.00054691;0.000600721;0.000733433;0.000803187;0.000948598;0.000997342;0.000999775;0.000918116;0.000784952;0.00077787;0.000838685;0.000959954;0.00110096;0.001051109;0.001007657;0.000826479;0.000738365;0.000675463;0.000569557
bta;12;0.000470138;0.000455753;0.000449774;0.000449243;0.000455394;0.000478805;0.000532926;0.000726904;0.002336182;0.002817447;0.003005876;0.003018563;0.002763445;0.00234027;0.002315431;0.002512315;0.002893076;0.003192093;0.003012093;0.000965314;0.000785352;0.000697494;0.00063747;0.000501346;0.000470138;0.000455753;0.000449774;0.000449243;0.000455394;0.000478805;0.000532926;0.000753514;0.00091069;0.001098296;0.001171749;0.001176695;0.001077245;0.000912283;0.000902601;0.000979349;0.001127777;0.00124434;0.001174173;0.001000652;0.000814102;0.000723027;0.000660806;0.000501346;0.000470138;0.000455753;0.000449774;0.000449243;0.000455394;0.000478805;0.000532926;0.000744499;0.000816827;0.000985096;0.001050979;0.001055415;0.000966215;0.000818256;0.000809572;0.00087841;0.00101154;0.001116089;0.001053153;0.00098868;0.000804362;0.000714377;0.0006529;0.000501346
